Index	Index	ICD10	Score	P-value
239	239	H699	517.8126989356836	1.3638467263965899e-114
463	463	J938	513.6627447686525	1.0892861216804093e-113
475	475	J9601	505.1569065322944	7.704240438391367e-112
1047	1047	Q564	500.37834582035356	8.43059840604793e-111
331	331	I440	496.67241641171836	5.392047716282698e-110
714	714	P248	496.10474207349085	7.164768035255035e-110
1136	1136	Q900	493.69737467469145	2.39177599860404e-109
690	690	P050	488.6279479689785	3.028065059886753e-108
1040	1040	Q549	486.9221275309635	7.114352232915612e-108
97	97	D696	480.6680428972408	1.6302704061715757e-106
641	641	M954	479.32656963754346	3.191583254444809e-106
429	429	J189	471.6522912853877	1.4895874688377852e-104
796	796	P761	471.45859012285365	1.641324719173591e-104
338	338	I452	466.529311350693	1.9377143169678274e-103
1111	1111	Q740	457.86375045103443	1.486215311849054e-101
487	487	J989	456.80271341651115	2.5285278707915895e-101
806	806	P818	455.6255426996526	4.5594835700382634e-101
794	794	P744	452.57860877305154	2.0973281818046072e-100
1260	1260	R931	452.34528784285897	2.357314078918593e-100
1259	1259	R930	442.4592063220801	3.333225435459302e-98
726	726	P282	435.1488934066648	1.2975010028891509e-96
766	766	P559	431.23344448402986	9.223204705911625e-96
841	841	Q039	430.6409982257361	1.2409822863627415e-95
963	963	Q318	427.7695526124666	5.2292724377856354e-95
299	299	I319	425.5832855989488	1.5633849095829337e-94
284	284	I271	424.09864884135305	3.2889257090703646e-94
515	515	K316	422.4662061077467	7.450777537663523e-94
387	387	I745	419.4459951740904	3.382801008821839e-93
533	533	K590	419.30179357184795	3.6362118498151086e-93
367	367	I513	418.95256048962665	4.331407059337621e-93
341	341	I456	418.1156692447276	6.587269013731008e-93
46	46	B957	411.60520641506514	1.718602116378572e-91
194	194	G808	409.70636399650084	4.449540101755935e-91
246	246	H903	408.9597339043677	6.46791540497285e-91
1053	1053	Q620	406.8418649364952	1.8688205884922032e-90
195	195	G809	406.2814305815798	2.4746134458541793e-90
811	811	P838	406.22802290277406	2.5417210132522463e-90
389	389	I749	399.8368419988261	6.248291152506763e-89
352	352	I483	398.28690807266776	1.3583613926459659e-88
294	294	I309	396.3270549266599	3.626354518571187e-88
517	517	K402	393.83760210634597	1.2623289212376535e-87
324	324	I421	392.6089005649177	2.3363633386217646e-87
492	492	K006	389.0854626344234	1.3654037056071504e-86
400	400	I958	385.13134339095524	9.902049714408399e-86
356	356	I491	385.09372013187004	1.009049573949961e-85
135	135	E871	382.6161926951101	3.4919332680109086e-85
1167	1167	R062	380.71238487679585	9.065150802063884e-85
310	310	I358	379.64612804336525	1.5467422070807845e-84
1186	1186	R198	378.9695780924951	2.1709626562214833e-84
440	440	J351	377.79104044838834	3.918626887275449e-84
800	800	P780	376.80892453093423	6.410186485297007e-84
435	435	J218	372.33272102857376	6.040086927573536e-83
359	359	I494	369.49796795170226	2.5003416950467768e-82
709	709	P228	367.58781448119356	6.512289811115492e-82
477	477	J9611	366.8040034684909	9.645567563455852e-82
1063	1063	Q632	366.6904065017872	1.0210615283818148e-81
812	812	P839	363.4021516571052	5.305710567505219e-81
314	314	I362	360.5772087285957	2.1858031481391177e-80
854	854	Q079	359.7658124486591	3.2826122867186986e-80
151	151	F802	356.3780728105958	1.7931172607494903e-79
348	348	I479	355.15888641006785	3.3035975442045425e-79
137	137	E873	351.2483048545548	2.345400576482175e-78
645	645	N133	351.0329377959542	2.6127484525330874e-78
1193	1193	R278	350.1640569183085	4.038632971728958e-78
482	482	J982	347.40085622684234	1.6133705126385266e-77
1223	1223	R601	345.4562799354064	4.27605297504016e-77
949	949	Q270	345.00670808892687	5.356857752444314e-77
357	357	I492	343.0514098545385	1.427455841291542e-76
148	148	F452	341.8594256708602	2.5944890316331317e-76
1162	1162	R048	340.3426061598201	5.549582801100133e-76
1224	1224	R609	337.82714851043085	1.9583077448272012e-75
203	203	G931	336.7326307254501	3.389721559045347e-75
829	829	P960	336.7178892311673	3.4148635475311005e-75
1180	1180	R160	336.6519847194618	3.5295654978886806e-75
925	925	Q242	336.3744749353751	4.0563670155890353e-75
1031	1031	Q531	331.39729369803166	4.9174023806753405e-74
340	340	I455	331.2456962082253	5.3056840103566545e-74
1071	1071	Q649	329.43854982926104	1.312789654261083e-73
439	439	J348	328.8855436534952	1.7321985127809912e-73
942	942	Q260	327.8070816337928	2.9744473983532373e-73
982	982	Q360	325.28776334819645	1.0518072788432349e-72
1184	1184	R18	324.0656736746905	1.9410034283856455e-72
711	711	P239	322.3545439391554	4.577229406615282e-72
818	818	P918	321.6959414093335	6.368052867510065e-72
468	468	J950	320.5953779304681	1.1057205195957673e-71
1118	1118	Q795	319.78087135936227	1.6634101101424695e-71
344	344	I469	319.6063564351279	1.8155120108786283e-71
1206	1206	R478	318.8887338220749	2.6017092806421916e-71
1021	1021	Q447	316.1307821623658	1.0370596270943372e-70
866	866	Q138	309.9822013615329	2.2632116059447246e-69
140	140	E876	309.53205277047573	2.836309530020236e-69
133	133	E86	308.0191211958753	6.05657486303454e-69
1088	1088	Q676	306.2592079246079	1.4638391144710963e-68
309	309	I352	303.4794780359967	5.900200934057354e-68
155	155	F819	301.6618102591228	1.4680191993945379e-67
1256	1256	R908	300.72176532712473	2.352149541936786e-67
734	734	P292	300.4712922438343	2.6669573229192944e-67
1085	1085	Q673	300.40432513259753	2.7580429340063236e-67
1264	1264	R935	300.30185327940814	2.903478936114672e-67
128	128	E639	300.043657475033	3.304852283790742e-67
390	390	I771	299.5805401024258	4.168851768635894e-67
432	432	J206	297.3250518886521	1.291984757394437e-66
876	876	Q170	297.0245717213595	1.502112305260132e-66
783	783	P701	291.2563613542642	2.7106546373905057e-65
1081	1081	Q668	289.8520088215193	5.4823846555388654e-65
702	702	P102	288.39414011019994	1.1390099185902126e-64
1164	1164	R05	287.2053476412066	2.0676585356195547e-64
