Index	Index	ICD10	Score	P-value
1638	1638	I132	11033.425300095918	0.0
275	275	B962	10972.169821403233	0.0
571	571	C787	10917.372759249358	0.0
1876	1876	I81	10873.216476244936	0.0
1900	1900	I951	10843.45841582825	0.0
1669	1669	I258	10799.164536745478	0.0
1133	1133	F101	10753.138248932632	0.0
3984	3984	R930	10727.769468917515	0.0
3893	3893	R570	10725.008113492479	0.0
3017	3017	M6281	10690.036240865084	0.0
2366	2366	K859	10670.839248088338	0.0
3769	3769	R068	10617.555384930794	0.0
2371	2371	K868	10547.622233654121	0.0
1643	1643	I159	10496.514209618183	0.0
1647	1647	I209	10483.257410130664	0.0
3797	3797	R195	10448.679442419132	0.0
3902	3902	R601	10412.733358339654	0.0
2280	2280	K638	10352.214749370441	0.0
870	870	D539	10206.017004063473	0.0
1742	1742	I458	10198.794530011604	0.0
3121	3121	M7967	10182.217992664318	0.0
3900	3900	R599	10177.322553861493	0.0
578	578	C795	10164.947837227286	0.0
1639	1639	I150	10121.663864657212	0.0
2372	2372	K869	10113.132447543925	0.0
3932	3932	R768	10023.01577497298	0.0
564	564	C780	10017.969233034404	0.0
1703	1703	I359	10015.207657423145	0.0
2239	2239	K567	9944.771277385704	0.0
1544	1544	H538	9913.945462661779	0.0
1084	1084	E781	9839.221463120914	0.0
3912	3912	R64	9787.939133005284	0.0
1750	1750	I481	9669.864746364547	0.0
1097	1097	E839	9640.43501294994	0.0
958	958	E079	9637.976373734567	0.0
2958	2958	M503	9570.972696973375	0.0
1888	1888	I872	9551.902787630082	0.0
160	160	B181	9551.630498217592	0.0
274	274	B961	9447.886215161696	0.0
288	288	B99	9368.543172648495	0.0
3781	3781	R103	9329.81201693471	0.0
491	491	C61	9266.718355703379	0.0
1418	1418	G938	9256.30983340667	0.0
2446	2446	L299	9201.687427688219	0.0
1691	1691	I319	9197.753756030483	0.0
2964	2964	M5137	9182.34873810457	0.0
3819	3819	R252	9156.576488583492	0.0
1377	1377	G589	9109.131101854558	0.0
2228	2228	K529	9058.10162131154	0.0
1134	1134	F102	8975.011777167812	0.0
2327	2327	K759	8943.874454324938	0.0
2146	2146	K259	8937.969050697593	0.0
3998	3998	R946	8926.042769452082	0.0
2113	2113	K123	8881.028545294876	0.0
2011	2011	J441	8811.17949159965	0.0
1744	1744	I469	8776.622737989434	0.0
2480	2480	L570	8775.136251686346	0.0
3259	3259	N12	8733.215914489094	0.0
1111	1111	E888	8592.532361373425	0.0
2289	2289	K649	8530.919559878505	0.0
581	581	C798	8479.509889324172	0.0
972	972	E115	8471.977436631447	0.0
3749	3749	R008	8433.345028750335	0.0
3792	3792	R190	8420.33305178303	0.0
2334	2334	K767	8349.584234697075	0.0
1209	1209	F432	8348.313892123864	0.0
3844	3844	R391	8300.668220782853	0.0
2385	2385	K920	8288.798463683277	0.0
1667	1667	I255	8275.55343899891	0.0
1821	1821	I678	8239.329758489475	0.0
892	892	D65	8213.360854834571	0.0
1836	1836	I714	8131.199142917009	0.0
3846	3846	R398	8130.9998063501425	0.0
2937	2937	M4802	8081.812373865805	0.0
271	271	B957	8053.556191824985	0.0
1790	1790	I619	8018.909372691937	0.0
3833	3833	R296	8013.531493803974	0.0
996	996	E213	8010.344147453586	0.0
1670	1670	I259	8005.652578929895	0.0
2293	2293	K660	8003.407518570027	0.0
2206	2206	K439	7993.482728598328	0.0
889	889	D630	7966.797921062003	0.0
1051	1051	E538	7958.199593052272	0.0
3316	3316	N309	7919.855337422622	0.0
2009	2009	J439	7900.174391923515	0.0
2767	2767	M2550	7893.253883405887	0.0
3895	3895	R578	7861.735225406806	0.0
1689	1689	I313	7829.3151217856675	0.0
3817	3817	R238	7750.961818853884	0.0
2000	2000	J40	7741.386059945457	0.0
443	443	C449	7711.388340789963	0.0
2603	2603	M1000	7676.03282941919	0.0
2269	2269	K625	7675.986632034304	0.0
2384	2384	K918	7641.811841583363	0.0
3992	3992	R938	7625.7100810972315	0.0
3790	3790	R17	7615.262562859719	0.0
1642	1642	I158	7613.325750626172	0.0
2394	2394	L029	7611.1541853201425	0.0
2667	2667	M170	7602.9307941924635	0.0
2311	2311	K721	7601.3905015340315	0.0
3757	3757	R042	7572.60728329462	0.0
2370	2370	K863	7551.2455764837005	0.0
2936	2936	M4800	7545.1692611689095	0.0
2405	2405	L089	7479.470776103077	0.0
582	582	C799	7474.465886787639	0.0
378	378	C229	7473.858729404283	0.0
3847	3847	R400	7473.338299019188	0.0
1923	1923	J069	7431.3889776669375	0.0
619	619	C900	7392.915637872432	0.0
1195	1195	F341	7363.286758155214	0.0
3898	3898	R590	7322.601608260833	0.0
988	988	E162	7317.588866496465	0.0
2171	2171	K299	7281.3587862407585	0.0
195	195	B370	7254.682784244018	0.0
3800	3800	R200	7247.354790132448	0.0
1694	1694	I340	7238.384917875386	0.0
76	76	A490	7227.939689305621	0.0
2317	2317	K740	7208.50719939185	0.0
510	510	C679	7129.469978424772	0.0
960	960	E102	7109.350053208614	0.0
142	142	B029	7084.815724136851	0.0
1644	1644	I200	7004.415422492854	0.0
3242	3242	N051	6991.772398390741	0.0
3993	3993	R940	6987.553547855892	0.0
1416	1416	G936	6981.490345941003	0.0
1736	1736	I451	6955.255925660104	0.0
2168	2168	K296	6922.258328167275	0.0
3958	3958	R829	6920.585981546924	0.0
1861	1861	I770	6919.7926722574475	0.0
184	184	B351	6907.743743668371	0.0
1887	1887	I871	6901.365111027003	0.0
2368	2368	K861	6873.9712428316225	0.0
3269	3269	N139	6861.391843919579	0.0
628	628	C920	6844.021389879219	0.0
3865	3865	R451	6836.289636707368	0.0
1712	1712	I38	6832.056943288881	0.0
1702	1702	I358	6790.3904891905195	0.0
236	236	B49	6787.536091627268	0.0
3196	3196	M9080	6786.159239365713	0.0
1760	1760	I495	6781.8924693796125	0.0
1862	1862	I771	6781.463938330894	0.0
3875	3875	R470	6773.618368123965	0.0
2075	2075	J988	6744.150735505062	0.0
3808	3808	R222	6743.1483956566535	0.0
3897	3897	R58	6738.941566568343	0.0
2683	2683	M1904	6727.279576190643	0.0
2233	2233	K560	6682.760768321246	0.0
2680	2680	M1901	6660.479397057138	0.0
2983	2983	M5430	6645.1693229941175	0.0
3802	3802	R202	6511.4254896029715	0.0
1717	1717	I420	6504.5441893555835	0.0
1394	1394	G819	6482.049224581319	0.0
2543	2543	L899	6448.638005789259	0.0
1613	1613	I059	6423.991278077962	0.0
2126	2126	K20	6422.656840234738	0.0
3231	3231	N032	6409.5788680146625	0.0
3772	3772	R072	6405.428457685098	0.0
278	278	B965	6382.282824331987	0.0
1816	1816	I672	6367.021505851049	0.0
1781	1781	I609	6338.071285254351	0.0
2341	2341	K805	6259.763135345501	0.0
1112	1112	E889	6256.666207181291	0.0
1633	1633	I119	6250.601081520706	0.0
1869	1869	I779	6240.156319139238	0.0
3806	3806	R220	6231.050073847696	0.0
2292	2292	K659	6230.464406483535	0.0
1727	1727	I440	6186.037924710244	0.0
1381	1381	G620	6184.955179533369	0.0
3265	3265	N135	6090.98311092501	0.0
1889	1889	I878	6066.537347650224	0.0
3130	3130	M8448	6061.954334333399	0.0
2281	2281	K639	6057.121958359013	0.0
1589	1589	H903	6042.405575997822	0.0
2008	2008	J438	6011.251671135261	0.0
2201	2201	K432	5979.200324719465	0.0
2117	2117	K137	5976.353529580754	0.0
1637	1637	I131	5963.359569273941	0.0
1041	1041	E440	5962.331340386301	0.0
3991	3991	R937	5960.350514571847	0.0
857	857	D508	5944.46821969383	0.0
938	938	E038	5907.464783475073	0.0
1561	1561	H612	5894.577672117979	0.0
3268	3268	N138	5882.923195855367	0.0
3974	3974	R894	5880.328025122186	0.0
3118	3118	M7964	5876.015474567477	0.0
270	270	B956	5856.297885409832	0.0
2764	2764	M2546	5850.138324206406	0.0
3340	3340	N394	5845.528076869551	0.0
1879	1879	I829	5844.719243244104	0.0
1069	1069	E639	5841.154388066355	0.0
2045	2045	J91	5835.100095271819	0.0
2170	2170	K298	5805.162482959156	0.0
1017	1017	E274	5772.778739637185	0.0
2035	2035	J841	5764.538099398174	0.0
1949	1949	J181	5739.025593788459	0.0
3754	3754	R031	5660.287491959959	0.0
1758	1758	I493	5639.707657414847	0.0
1359	1359	G560	5631.006269507041	0.0
2980	2980	M5416	5608.760113413087	0.0
1798	1798	I634	5572.815910621866	0.0
2673	2673	M179	5569.48448676572	0.0
268	268	B954	5564.78320644304	0.0
